,model,val_dataset,method,mean
0,dtfd,transneo,concat,1
1,csmil,transneo,concat,2
2,minet_ds,transneo,concat,2
3,mamil,transneo,concat,5
4,clam_late,transneo,concat,6
5,transmil,transneo,concat,7
6,clam,transneo,concat,8
7,mmil,transneo,concat,8
8,dsmil,transneo,concat,9
9,clam,transneo,mean,1
10,clam_late,transneo,mean,4
11,mamil,transneo,mean,4
12,dtfd,transneo,mean,5
13,mmil,transneo,mean,5
14,transmil,transneo,mean,5
15,minet_ds,transneo,mean,6
16,csmil,transneo,mean,7
17,dsmil,transneo,mean,7
18,clam_late,transneo,mul,1
19,clam,transneo,mul,2
20,dsmil,transneo,mul,2
21,csmil,transneo,mul,4
22,transmil,transneo,mul,8
23,dtfd,transneo,mul,9
24,mamil,transneo,mul,9
25,minet_ds,transneo,mul,9
26,mmil,transneo,mul,9
27,mmil,transneo,x20,3
28,transmil,transneo,x20,3
29,csmil,transneo,x20,6
30,dtfd,transneo,x20,6
31,mamil,transneo,x20,6
32,clam,transneo,x20,7
33,dsmil,transneo,x20,7
34,minet_ds,transneo,x20,7
35,clam_late,transneo,x20,8
36,csmil,transneo,linear,1
37,dsmil,transneo,linear,1
38,minet_ds,transneo,linear,1
39,clam_late,transneo,linear,2
40,dtfd,transneo,linear,2
41,mmil,transneo,linear,2
42,clam,transneo,linear,5
43,mamil,transneo,linear,8
44,transmil,transneo,linear,9
45,mamil,transneo,lse,2
46,clam,transneo,lse,3
47,mmil,transneo,lse,3
48,transmil,transneo,lse,4
49,clam_late,transneo,lse,5
50,csmil,transneo,lse,5
51,minet_ds,transneo,lse,5
52,dsmil,transneo,lse,6
53,dtfd,transneo,lse,7
54,mmil,transneo,max,1
55,transmil,transneo,max,2
56,csmil,transneo,max,3
57,dsmil,transneo,max,3
58,minet_ds,transneo,max,3
59,clam,transneo,max,6
60,clam_late,transneo,max,7
61,mamil,transneo,max,7
62,dtfd,transneo,max,8
63,transmil,transneo,x10,1
64,mamil,transneo,x10,3
65,dtfd,transneo,x10,4
66,minet_ds,transneo,x10,4
67,dsmil,transneo,x10,5
68,mmil,transneo,x10,7
69,csmil,transneo,x10,8
70,clam,transneo,x10,9
71,clam_late,transneo,x10,9
72,mamil,transneo,min,1
73,clam_late,transneo,min,3
74,dtfd,transneo,min,3
75,clam,transneo,min,4
76,dsmil,transneo,min,4
77,mmil,transneo,min,6
78,transmil,transneo,min,6
79,minet_ds,transneo,min,8
80,csmil,transneo,min,9
